salary,rent,food,entertainment,utilities,transportation,insurance,savings,subscriptions,travels,emi,future_expense_target
130510,33008,15512,528,3189,5838,3933,46770,413,11625,4787,129429.04437237256
126530,44283,16641,9228,10435,7176,4877,34521,4189,2318,25560,164376.0241446796
100077,17921,21248,3320,1794,9884,6639,32646,4454,13619,12086,125419.0862771886
55920,49369,10054,9294,1125,19846,6156,20947,4368,14462,21491,164434.2035730515
39457,31079,28891,13924,7717,17096,9669,21802,1672,14066,19360,168249.08774344824
98953,4681,5680,13281,11046,13020,170,33621,2097,27826,9533,124250.42292887562
72995,6970,1439,1265,11260,8784,865,31170,1250,24208,17823,109782.42887034384
191829,31530,1336,14765,3707,13481,9660,9329,2352,27454,23372,138971.4236768136
29692,2019,25446,6243,13185,7719,2115,12296,444,7206,3075,82663.64440178894
196830,19176,4794,19226,11256,18667,4197,34551,2643,17591,3645,139355.72861660522
57065,25606,22896,14421,5082,18512,415,34551,1689,22584,10761,158882.03304732242
119299,37242,3830,19712,6226,17425,3091,19307,2719,23115,29282,165181.8430727105
183678,20356,9245,19119,9272,9173,4038,32242,1856,7516,1263,117944.68002063571
31534,3713,2500,9612,3813,6753,5013,44681,2786,11825,37552,130216.22920908571
60397,47110,26393,13249,6446,8532,5624,23073,2054,11316,24103,174696.08069743428
111387,19292,7386,2325,9556,11759,841,43087,1090,6856,24995,129138.09112014022
21016,19584,13800,16126,5749,16005,5337,17983,4761,7554,20415,132952.03329096208
75591,5552,28202,19764,9606,7751,6459,1154,336,2194,23561,107092.60505095962
43247,25675,16259,12994,5804,13221,1626,8073,416,4731,3359,93947.65778896995
44300,34393,28702,8040,1118,3566,7772,20708,3984,26827,9324,149908.05790091233
102798,17328,24167,12356,3850,4399,7795,7825,948,8585,33311,126397.19891217245
29268,12506,9028,2765,14799,10554,9629,14954,1,9795,31406,118537.07865938616
106807,37446,20364,722,14764,538,912,20324,2422,24543,33952,160541.35638095727
32185,39069,19785,19400,14646,16734,1975,32405,3903,2931,22743,181643.85649133875
190171,16056,15690,2326,2543,17112,5549,11582,3300,17698,36722,131186.5256083432
159643,22499,23923,4737,9885,4344,6637,41414,3418,20767,29655,173778.8323080381
58044,20503,23411,12407,13615,4368,3537,10466,3134,18416,10788,122035.27044950696
71214,34590,13657,14914,12387,10932,3936,35925,4349,3949,31203,172955.00308671987
134752,33712,23385,7980,12861,4579,8825,24143,1507,1569,39933,161891.0841374011
68984,42530,24821,9313,650,9508,1748,15803,1381,19669,18875,149491.14905979487
60774,16127,12914,4377,8477,14707,2180,956,1007,21619,31266,118310.11912559254
22568,46107,26001,13725,3082,16381,9621,7892,4874,27766,12257,173589.16866531363
140151,47968,22735,7505,14532,16667,1871,23374,2096,1177,14482,158729.38451894667
153767,5360,18522,19376,3495,16724,6577,16125,985,26161,31923,150180.00508810804
144375,31971,28307,13388,13348,12457,4417,14297,3235,6447,8084,139890.28866204165
199262,8430,22289,12884,8197,18903,1720,28289,604,4051,5754,115912.36926024876
156330,31285,20042,18602,4200,19797,6791,2215,4942,17585,24558,152121.52017837312
59504,45954,14313,3389,10298,9966,7304,41408,610,26022,21370,185635.81862027993
184231,43277,20216,12885,12288,19775,7405,19767,2561,211,7099,148999.6485209958
33986,7035,3087,4639,8155,17302,2409,49165,2802,9384,130,107389.13675707592
81858,19100,4066,11535,3415,8730,8915,2469,1324,3963,16797,84297.01951602836
149312,41589,26521,3977,5837,17104,8467,12897,4172,18598,8393,153503.80533831794
32666,7936,6011,974,1959,3958,6212,39413,3429,180,19940,92143.99373549307
58660,47376,24294,3943,4056,18239,1370,13006,1526,14657,20720,151197.3804857445
154633,21722,2123,4030,5441,7697,6998,43119,1627,10229,37183,142767.58121911343
46854,35050,20947,7916,1114,19202,6615,16286,2723,16200,15443,145707.26430665792
84505,14772,18724,2490,1913,2116,1249,34305,4755,24230,32596,142565.7885290642
124488,31241,22324,18093,10257,1585,3880,43579,2070,19654,36778,196196.3261638216
42662,48310,11605,16748,5527,7205,1178,9237,2166,18913,35784,164225.65104360748
28392,23439,19714,6742,6229,373,2251,31385,3384,8698,34949,140654.93895865488
50535,11408,11262,16257,3536,8001,1035,20375,4333,26592,7669,114055.84348706488
133569,4574,13339,7672,11501,7332,3620,34490,2201,21268,19426,127789.94052292111
72256,46881,25874,14464,13956,3906,9840,44289,4243,7595,23156,201980.65873897524
109135,18362,3410,14664,1462,7106,5452,9463,2993,538,33713,100774.1285817516
147478,46376,18287,17282,12599,5575,6037,5735,4626,14975,9110,143852.14549784848
55222,21712,8029,12674,10655,19771,7881,37200,4050,28672,17927,174747.4251052159
97373,23687,10007,17870,3448,17140,5517,35426,1556,20839,10417,152771.01883598513
143684,36593,16871,8479,3667,4252,7559,33454,2362,1208,17344,133379.02926820045
30965,5647,28459,2178,1309,16490,2561,44144,124,7027,21676,133095.93920666465
44538,26329,16998,3206,2461,13361,9333,29580,440,6198,31082,144433.14554961876
128066,47899,9590,3274,10609,11501,5349,45655,3677,22179,13193,178037.95107288193
133252,41099,24823,7200,14330,14795,6056,33469,2434,1020,5945,158509.05134427038
159182,40566,15631,5312,3993,1639,81,32001,2465,22959,8500,139659.31147500774
178338,40636,4314,15489,9543,3254,8872,28866,3284,29878,35270,186174.94392197498
118806,35857,22568,2376,8199,11295,9300,46586,4226,18864,37895,204932.9495387173
157982,35055,25350,9421,3354,7674,5184,23061,4198,4580,38134,158888.27808723407
130989,11266,21816,14022,7001,2073,5549,9966,483,12651,26143,115432.87147809532
110982,17129,12837,15731,6906,2740,1064,3777,1335,6179,18926,90236.28645427292
141626,24072,19779,16905,5226,14956,3310,37522,4100,19743,20484,173101.66008168217
139176,40075,7929,12881,6992,13598,1989,23202,112,23647,7203,142156.50711599583
151278,36998,22419,7438,953,3709,3876,21534,2524,18303,2149,121493.09478999088
142409,28373,11540,6754,8789,15471,9602,17329,2026,10160,4419,115753.41092883516
43419,29142,14320,14410,12808,17469,2001,32960,583,3896,28589,161219.3355883487
70015,37152,2774,8510,14500,8760,5319,33930,412,7914,37354,159147.51430206568
142096,46185,14721,1076,5745,14740,9019,9581,2482,29440,8913,148684.81410183234
127059,22830,14312,11262,2861,12619,6676,39622,2153,6169,27898,148805.3292993426
130687,14918,10987,9638,14439,6429,1368,28762,2255,835,6540,97548.77320098269
107939,23736,13117,1614,14927,16750,5368,2804,4979,4572,29009,120096.97835714537
169213,6219,21407,15135,1604,3865,7686,15287,612,5320,14991,95371.86125783554
125878,41914,19949,6195,7978,7206,5310,45589,279,13998,29734,185723.9324124431
184899,18973,20970,4659,3486,1784,7823,10607,2533,10116,9325,94015.67532094875
82623,43092,19586,2794,784,18691,1632,34973,2909,1583,37845,167372.2723508421
95450,14502,14670,12162,6773,15492,7351,10179,199,26149,1691,113627.55653453647
113426,38607,27821,4032,10775,8810,6948,4111,1225,15349,38446,162219.31302371598
137845,39888,5570,19175,14238,8748,9361,33101,704,4542,27952,168962.57190899304
173371,10531,28344,15618,5005,688,8172,26628,3030,24755,20259,145609.60484822563
63585,42321,23178,1796,4057,9124,5214,12126,403,4230,35114,139869.88363584512
129225,29260,11513,15443,2721,6055,7916,33374,1779,23146,1723,136418.88831708606
84044,3636,24328,13682,3899,17166,5045,12936,4245,5406,12308,105484.16419179268
193629,34320,27953,1612,3767,18033,8087,26864,948,1644,19105,144065.92864306187
129556,28377,13755,17963,13631,8051,2914,33800,2395,10956,6444,144239.32289742277
22693,38086,22323,5329,1434,10838,2663,37936,1726,26175,38499,193746.1114086563
115259,47233,13463,6993,11746,689,6409,23301,396,5228,37331,155678.09636627775
45939,6932,23175,15259,11822,13534,4500,17545,2808,24786,6223,132444.20641021096
199997,31992,6296,13298,13560,1798,2439,42702,1886,2802,33398,156206.2645286612
194013,32700,17086,9304,12315,14123,8087,31068,3118,11877,31279,173688.03759245787
172906,48156,19158,5474,14286,1527,2813,18014,4575,17023,19217,154161.84447975107
38047,6887,17852,15,14398,9300,7230,43001,4002,15162,27364,151663.49156893938
46105,13887,7298,4351,8985,791,5558,33858,4968,3252,24413,110476.80730649074
95766,4359,21004,10543,11213,2384,4166,49929,534,11685,15039,133228.70833705293
166779,4275,26873,5193,7110,16112,5663,14729,766,2843,10952,99218.43526052163
173048,33466,22684,5601,8243,13311,3122,9002,4165,27731,417,131052.1300085362
64262,12019,4077,14382,6976,16492,70,930,1814,6654,1968,66384.08973688148
145117,33489,2778,12029,13049,18558,8483,49613,829,12183,18459,173802.4085468942
43776,33199,21592,18127,726,15615,9464,4686,4471,18677,31252,163041.26045487335
181152,45403,20054,16666,1053,10095,6417,35563,960,4311,11486,155230.88851483565
148376,45079,9337,431,4164,11192,3199,41838,3943,19388,26246,172873.5385351604
157848,49509,11149,17213,9413,4149,6376,15803,471,1290,19032,140263.49490745092
112787,5529,21290,4722,5270,11590,7150,41424,4134,7421,24016,137568.7217760444
147948,18083,15098,5043,13412,9810,3703,28586,3724,14563,14168,129172.88716484778
75016,11277,15335,17248,1453,6645,6926,17844,948,11352,35243,128614.50025786874
160546,25032,10376,9196,12401,14957,9073,22867,4152,15535,11893,140256.94442591973
41959,36239,15133,17072,11850,19914,4450,13219,4495,18236,494,142715.669497651
156602,16363,4466,10413,9496,6059,5426,27759,4314,9109,19438,115855.71434710677
139101,27586,20955,13483,6059,12655,8433,13937,924,3742,35108,145698.64280132725
23748,40744,29674,19473,7814,7158,6265,37794,2628,10115,23663,191939.00680051759
33545,17856,9996,11820,3582,6198,7164,14024,454,24110,36382,135579.19494789344
147659,45523,19099,6112,3203,2055,7339,2203,3376,18589,31583,144159.0077228611
185838,6953,5714,19837,13595,4745,3499,41858,1065,23344,35462,158883.73018543422
93530,9762,18192,4654,8812,1772,3896,37859,924,12612,5232,106952.37960162327
113557,42033,3587,8425,2279,4481,4343,14598,4326,3223,25793,115480.40270636555
81087,33212,8203,2522,5096,2042,1886,2497,1248,3198,29393,90899.05461183366
88840,47804,20779,14759,9591,10456,535,4430,704,5095,31424,150421.01454045082
138451,32652,25975,13173,9714,18760,8463,29321,1449,5716,37771,187397.83208869174
71005,33827,23906,9936,13380,15230,8948,49610,1785,15621,18334,196423.60374280176
197648,21353,2620,13323,12894,14057,8924,6524,4394,10728,5431,102038.98334586255
59353,36149,11778,13859,10463,15297,6342,7125,3880,12975,15520,135455.97667602
72733,5421,1014,9395,12238,6257,552,40993,3952,16904,23901,124672.04549249385
85318,25173,9784,15561,8938,13180,7349,42299,4429,12640,5806,147179.2858128841
174736,45749,6379,19295,9160,968,628,29942,1228,26540,15743,160345.69820556673
87172,49948,26787,355,11500,13463,4213,8282,1137,13275,19904,153843.9702201573
113264,49543,14225,4517,1376,8663,7207,30044,4532,7878,15406,144973.60605423016
46736,13235,14865,7746,1921,5142,131,12276,2000,7569,19117,87421.63798501746
132859,28266,5788,10466,2144,13497,3943,29283,3886,13346,21738,136133.7790452372
132181,49394,1917,2777,5390,19755,4450,44689,3480,19493,13026,171701.6764485553
151926,6839,19134,12700,2695,1950,6607,40882,1894,12255,16267,126560.48528470962
110084,4528,2937,10773,13764,12786,279,16998,1474,6714,39201,113360.1570214244
189695,25540,15448,15656,3068,12975,4616,48779,3834,27533,36793,202172.03580337943
27392,33953,16460,5012,9824,8041,2423,3407,4355,19338,15121,120701.97395862603
75680,25225,9101,7509,11550,4505,2647,26386,2122,19186,32583,147616.37921453294
197789,40739,19122,19680,11032,2992,4374,39815,2093,8964,2446,158800.91253683958
70859,26254,6243,8237,11607,14875,8832,37714,1901,18808,25927,166798.37570985398
145657,15426,18662,17498,4515,3916,3320,23978,4514,20421,35928,151488.12121566635
177381,46448,18268,11716,4211,9722,2814,18027,1073,10389,28830,153215.3183418615
90467,17198,21803,10797,13736,221,5186,25501,1251,19954,19344,138854.8954826014
118506,46882,27433,15415,14921,15029,5382,1769,2965,5792,36127,176619.835764391
129751,29216,17834,13998,14373,360,8799,20317,3531,4950,20280,138023.84093897988
138906,20464,17668,3835,7102,6228,2012,23326,993,12126,30180,128730.3572555169
163760,36343,21017,14269,14607,19314,7712,49371,942,16766,3135,187309.7714429805
45342,27849,5313,3030,11396,15506,1787,26685,345,19172,26845,141952.16609360225
188229,12522,24341,15511,2539,9248,5621,16702,1661,3379,10607,104117.81889259852
126308,20566,10278,12930,7300,10048,2187,2010,122,8829,31058,108770.71499265467
126081,24969,19346,19689,967,9684,2595,38140,4704,18829,1957,142640.67667899694
109045,2525,17900,18981,2844,12034,9423,45283,2430,29766,19709,162985.8865902732
54698,47955,10603,16316,3430,10260,9599,15515,3210,29461,8629,161821.00383026444
130078,11841,19400,8069,5127,15405,8469,38141,241,24013,13867,147642.0532693015
100623,30016,7702,13587,4935,3867,8126,32120,3899,4466,6329,117029.77366684053
42671,44831,27026,14372,5076,15480,6718,17947,4443,28612,29823,197798.942306808
176256,23850,16838,15358,6161,6479,4634,6885,1108,16748,37171,141339.66035964838
113384,6517,28647,19235,3999,9691,2117,18369,4518,25500,6946,130439.68184841005
193179,28515,10398,16101,6290,1103,153,15329,1932,5340,18520,106128.44166175542
106202,37839,29987,15217,3139,1226,7294,11376,4557,21482,33227,167813.78139735613
71663,33277,4577,16774,6080,10706,5267,43133,3238,3662,676,129684.3266768937
35708,18530,17630,3427,1053,15242,9916,36733,2620,18606,5648,133535.22700076803
111906,33979,7798,5596,1651,16068,4868,9220,3229,1802,10961,98251.55620093906
69811,24166,19752,5195,10808,12721,2863,18817,4375,19291,16688,136338.8492170492
153883,29069,5820,7679,8701,15198,1341,4086,1188,29886,31340,138808.23657886023
76250,22079,5419,11852,8484,2368,1225,36846,2988,18309,10746,122963.27507165138
132547,36643,27513,8743,14527,10103,470,31374,2096,16648,21005,174658.5061647159
144249,36639,18447,9635,9964,12876,3796,46004,3527,27326,9655,180091.20785048336
54754,48412,26280,12252,3502,16845,3039,38356,225,20264,7418,181851.6695703023
162483,17776,20143,8529,14528,7112,154,5922,762,7904,337,84716.04954223667
153983,13982,29920,12967,11704,2548,514,21341,227,27061,16858,142859.62688058347
159752,10719,7461,18912,10900,697,2979,20044,4488,24724,11751,113961.99363552674
104896,43086,12082,2836,10796,6056,5067,7003,3772,23622,20935,137394.26528170594
91295,32797,11377,5137,11476,13088,1104,1208,1019,22411,37896,139696.57673431985
120689,32080,19308,4377,7832,11050,3118,26492,1229,6902,28248,146671.45213503778
31111,17904,6003,5728,9569,9631,3255,4504,625,1952,36163,96828.88497297531
57504,45164,9704,13848,7002,344,8811,8427,238,9057,22160,128782.1506303353
152874,25740,12825,7592,12479,18396,4502,36850,145,13539,13186,150728.45035685768
28155,17104,21126,13103,5890,16117,8240,32693,823,8672,27065,156198.70483462082
59384,12558,17997,16270,1113,4449,4869,2050,2378,21555,18389,103030.07498509898
132561,7847,5413,4966,1782,9013,4824,3592,2588,10196,29046,82578.98112089549
67254,45514,4440,721,4273,11062,9977,20319,4301,7600,24989,135356.04858824812
41918,46657,26754,18855,9243,15149,9202,38995,4721,11265,19951,206533.07614978962
105981,2685,8136,18432,9990,13532,7108,23892,4737,19137,37015,147483.2138325127
50306,15226,14355,9585,4941,14596,790,39792,1213,28696,757,135522.41966904723
167718,33351,4987,8100,2715,3278,4657,29110,2319,15663,27956,133883.80493742728
66843,8665,24970,13399,7731,18226,4039,34967,1304,12508,7029,136931.8464051419
140975,45729,28271,8921,11597,8791,996,71,431,19281,13605,140235.33117785692
116601,19469,2805,11149,10484,6766,2221,26664,4710,21020,23116,134347.72795774465
127512,31781,22326,10546,7647,10686,3679,21521,306,22782,19859,153658.0337584538
167443,22012,12310,16004,5247,6582,1679,18084,4464,14817,36200,140280.34540033428
131472,35992,7336,11645,13631,2137,871,40241,1550,12496,20908,149784.1680472276
153121,30360,1490,488,12815,3399,8991,31442,4266,19747,5050,119289.56781103693
182688,44599,19211,4323,7120,5655,9429,6607,2970,2546,2563,109729.01201215156
123727,3836,12237,5571,5510,12982,2462,35318,1719,11028,15403,108528.20134285893
132893,46518,15292,2178,11129,2539,8828,40927,1503,9389,12864,154467.5144398786
40932,7716,4037,6716,6546,7776,4190,32966,3813,8828,4547,90836.06642840822
137796,27273,23278,5133,13512,4269,5143,7221,915,26543,36957,154600.90391062453
49855,46126,4050,13045,2302,6839,812,48087,253,17530,32619,178904.6614019786
194088,46737,20373,18634,9621,6661,7394,26962,1623,1876,21213,163098.50196060838
27400,19650,2157,14363,10069,13331,9926,32543,2966,1997,6119,114652.46478272665
137858,34279,16303,19571,13599,16533,2170,40897,748,28483,33122,214447.43603873067
193714,2224,23961,17513,12205,8884,5410,47726,4365,8893,20863,155890.4581603779
35151,48026,22213,2373,777,363,6253,3481,4672,12094,2220,105830.39848563143
86690,18320,21855,16510,3790,2179,7240,24948,1728,12905,9848,123157.41329462024
24499,30342,29527,12248,3008,16183,7962,45937,1856,3952,5348,159255.04145660452
26295,4160,14623,4113,10438,19171,1333,47379,4005,2814,8980,121574.23720540213
140885,45698,28861,4120,10602,4585,1821,34266,4684,6688,18470,163975.7088761068
146071,2199,9974,71,5104,1360,345,23514,1831,8296,4739,58906.6227694498
79040,48408,17576,14539,11563,13821,8145,19749,2049,17254,17084,172791.3866010454
32183,49892,12916,16885,11072,19803,2306,30968,3467,24658,37250,211313.97138609565
180371,20222,27359,11486,8231,16208,353,18239,893,25863,13711,147286.87475789018
163946,36087,23064,16373,5685,5381,2760,42325,4925,18525,31685,191257.60590903804
136336,7400,29076,18,12389,1047,6087,34274,787,27357,3361,125840.67695173403
52711,18081,11880,10266,9379,14893,9718,6215,110,11228,38276,135842.37735026548
25539,8267,15329,11596,9308,8678,8450,23173,2237,27742,2837,121844.10959966722
199426,41690,21031,5192,8441,19713,6712,43731,2901,19848,1589,175435.2625417242
146063,17448,10133,18973,12704,12844,9556,11564,1807,29044,25072,155103.72143175182
153629,8881,6087,9081,9044,16119,9055,39033,193,16901,20797,139524.75093819163
58360,17447,10812,939,13369,10299,4444,44620,3128,8897,33593,151236.0456954554
153272,12031,1648,18818,13573,14591,737,2184,4702,11176,19766,102819.71357546304
198047,17519,6947,6569,2814,18690,3159,22360,1691,8876,10901,102061.10869580528
41357,9042,13778,7817,3874,15836,9208,49050,3881,12046,36012,165422.30193090913
139121,33320,3035,13512,7011,17412,1766,15203,3149,16782,29018,143522.48408728937
97505,43081,23915,19266,3353,13199,1448,24973,424,11492,27792,171483.08986009934
22869,21052,16753,15758,3278,4337,8810,20775,1430,7027,35841,138177.88123868912
70108,21703,12341,11262,3537,5468,5763,3933,4641,26592,11114,109963.93024931132
132296,36610,9792,9825,14538,12197,4799,12301,984,13388,26785,145810.35384229166
114179,32800,10163,8027,10839,19877,1494,32715,4322,10813,27998,164202.03752872627
110272,33763,23826,13059,10970,18692,3936,5089,1144,26660,22910,166271.94792161902
58467,44449,25756,18196,2749,7238,801,4354,968,21699,11218,142852.61569170072
43328,16200,22873,8021,13656,9073,2375,36264,704,459,20715,132789.24447265558
111412,21681,6384,744,6742,16897,2422,5269,3308,2241,24666,93213.92917553337
155059,18207,29479,5108,7966,7134,7233,30659,1904,24303,39794,178353.82825946622
78871,7151,17735,8472,12907,2128,9232,1093,4023,10957,33894,108949.43834640963
173471,36985,16117,6077,7997,12424,482,48014,1003,12858,15776,163262.83006577977
148391,47689,29326,9663,11754,5584,4162,39129,3182,7418,22092,188145.03421870226
197286,6047,7247,15953,12657,13228,83,20234,2255,24701,28473,134999.28819619972
106416,9078,17969,12744,2371,11271,8852,40674,3814,15545,24886,153914.23448322716
90271,49013,15281,2754,5664,10008,2495,12443,3556,11265,27317,143462.30741193434
64064,48783,19560,10627,7243,2002,1690,94,4071,8477,36853,141941.86920819248
127450,31699,5332,4658,10953,17121,2247,41309,4378,6068,4089,133576.29020399306
191890,46258,7483,17035,10521,5662,2168,18579,4079,5135,25832,144235.80483529685
196597,39083,16505,11689,7745,10850,7778,17593,3161,18554,2930,139726.64223408877
39830,49338,12816,16473,12718,13883,1686,31468,600,6041,24244,171979.95954945573
168501,6924,7972,16516,6281,8938,7182,11408,4857,855,36631,109049.66885688528
157965,46521,6410,1250,13748,2535,5333,319,4347,16829,22359,125310.71572650642
136381,47901,28207,1616,12835,12792,9429,17013,64,361,5049,137230.5235408861
67333,21332,4531,9485,3479,8739,327,12407,207,15013,24489,101926.90258786934
154508,9724,7433,15351,1734,1265,1784,23155,549,15474,3359,81053.75440635606
96213,48167,14153,11639,8104,9424,4504,7488,2006,3484,15994,127813.45898162248
156967,43090,18696,17154,3796,6246,1810,9726,1796,23408,28834,160277.09967063452
170810,29670,18300,12859,7717,13730,9994,30010,2144,6634,27760,166070.79866844648
50746,6901,23293,5125,4049,9938,2604,36730,1196,15753,1988,110367.29414706155
69377,8050,29100,19523,4344,8988,8497,47738,185,8439,7636,149038.28935117915
199476,37077,7807,6,10745,13871,2948,47277,4665,315,22312,151133.51678699945
74045,38165,26393,4579,2755,1377,7786,20517,1695,12857,20814,142395.68100990233
117888,44663,9945,9497,14584,2897,7045,36291,1210,8644,23860,165806.21308016876
190862,41678,12158,6667,13227,2503,597,9634,1676,6137,12295,109991.0322213197
127455,35826,22309,19632,4907,7587,2685,40548,948,6247,30200,176289.68855629972
156672,22876,8577,2703,1706,19367,729,34436,2826,9787,20946,127477.36026913633
113179,15848,5529,14621,7059,7254,2979,22119,1395,12329,793,92243.19584412193
191836,24229,2140,15747,3487,2128,2390,49930,733,18327,36119,158380.07655611445
65714,9760,17895,12462,14428,19521,2987,9295,4534,10030,32086,135582.2718564963
122946,6045,3802,12050,14352,9558,7814,27358,4102,27879,39626,158486.26767641457
129616,13586,5205,13595,4273,13381,1262,40480,2861,15291,34489,146422.74455298693
125983,12819,28197,5853,6899,13401,2954,14529,2474,14457,17750,122972.55622839853
144123,17221,12789,18348,12001,13787,8234,21903,471,28250,29210,167754.98102334523
169661,44926,15620,18042,2192,18719,1529,35515,1258,15527,8255,168416.48752221136
63484,48811,4825,17,1794,10396,7770,9192,211,24115,4227,112581.82774032702
102989,37329,6930,11647,13238,5731,9669,418,4413,18832,36326,151328.37495390145
56212,44028,4577,19710,4362,942,4036,42426,1979,25980,13195,165243.9938020241
63525,24191,2418,9727,2777,6568,554,37275,3688,26182,15941,130701.62085717342
198274,35701,22045,17123,2170,3822,4471,6599,798,16687,24848,139343.5066031617
183707,46590,25238,19202,7718,18337,4416,12468,4856,20516,38058,204233.6074723188
83208,16851,1839,17018,10877,10598,5017,34963,4104,22226,8541,137738.8220289861
53828,21131,15980,1238,8182,5259,5748,21961,4286,6499,32516,126717.74968718161
169783,36542,2816,5286,6539,3003,2616,41008,3957,28024,1767,135261.2988757471
23420,32768,10252,5468,13243,14891,3118,26586,1210,10587,29226,150114.80449382888
116752,11291,16986,17137,11800,3715,3558,11504,2235,13809,23124,120503.98098766428
151373,33265,7244,4989,8597,15090,3650,6113,3693,12305,7095,104072.05014390763
196308,15099,13260,16423,7575,2815,758,5202,2722,5240,10412,81342.81411567303
135294,5816,22465,8480,11419,14797,8397,38345,58,13431,9748,139035.54672272035
